Card 1, Card 2, Card 3, Card 4, Card 5, Score, Win Percentage
['12S', '6S', '5D', '8H', '5C', 19.0872], 9.523809523809524%  
Card 1, Card 2, Card 3, Card 4, Card 5, Score, Win Percentage
['10D', '14H', '6H', '7S', '12S', 14.13076], 0.0%  
Card 1, Card 2, Card 3, Card 4, Card 5, Score, Win Percentage
['12C', '13H', '2D', '13C', '13D', 58.122], 95.23809523809523%  
Card 1, Card 2, Card 3, Card 4, Card 5, Score, Win Percentage
['6S', '4D', '11H', '7S', '7C', 21.1146], 9.523809523809524%  
Card 1, Card 2, Card 3, Card 4, Card 5, Score, Win Percentage
['2S', '5S', '9H', '12H', '2D', 16.1295], 0.0%  
Card 1, Card 2, Card 3, Card 4, Card 5, Score, Win Percentage
['9D', '8C', '11S', '4S', '6C', 11.09864], 0.0%  
Card 1, Card 2, Card 3, Card 4, Card 5, Score, Win Percentage
['6H', '8S', '4H', '10H', '4D', 18.1086], 4.761904761904762%  
Card 1, Card 2, Card 3, Card 4, Card 5, Score, Win Percentage
['14S', '13D', '5D', '10S', '3C', 14.14053], 0.0%  
Card 1, Card 2, Card 3, Card 4, Card 5, Score, Win Percentage
['7D', '10D', '12D', '14H', '11S', 14.13207], 0.0%  
Card 1, Card 2, Card 3, Card 4, Card 5, Score, Win Percentage
['13C', '12C', '4C', '7S', '6D', 13.12764], 0.0%  
Card 1, Card 2, Card 3, Card 4, Card 5, Score, Win Percentage
['4H', '13H', '8D', '6S', '6H', 20.0934], 9.523809523809524%  
Card 1, Card 2, Card 3, Card 4, Card 5, Score, Win Percentage
['3H', '2C', '10H', '12S', '5H', 12.10532], 0.0%  
Card 1, Card 2, Card 3, Card 4, Card 5, Score, Win Percentage
['7H', '13C', '5S', '5H', '3D', 19.0437], 9.523809523809524%  
Card 1, Card 2, Card 3, Card 4, Card 5, Score, Win Percentage
['9D', '2C', '10S', '3S', '13H', 13.10932], 0.0%  
Card 1, Card 2, Card 3, Card 4, Card 5, Score, Win Percentage
['5S', '8D', '12C', '14D', '9S', 14.12985], 0.0%  
Card 1, Card 2, Card 3, Card 4, Card 5, Score, Win Percentage
['12H', '5H', '13H', '2D', '11C', 13.13152], 0.0%  
Card 1, Card 2, Card 3, Card 4, Card 5, Score, Win Percentage
['8H', '10H', '11D', '8S', '14H', 22.152], 19.047619047619047%  
Card 1, Card 2, Card 3, Card 4, Card 5, Score, Win Percentage
['4H', '2D', '7D', '9C', '14C', 14.09742], 0.0%  
Card 1, Card 2, Card 3, Card 4, Card 5, Score, Win Percentage
['12H', '11S', '9H', '6D', '4H', 12.11964], 0.0%  
Card 1, Card 2, Card 3, Card 4, Card 5, Score, Win Percentage
['2D', '5S', '3D', '3S', '3H', 48.052], 95.23809523809523%  
Card 1, Card 2, Card 3, Card 4, Card 5, Score, Win Percentage
['12D', '9H', '14D', '8S', '10S', 14.13098], 4.761904761904762%  
